order_id,delivery_time_raw,status
1,38.97371322408986,completed
2,,completed
3,,completed
4,47.184238851264205,completed
5,33.12677300221331,completed
6,35분,completed
7,47.63370252405913,completed
8,41.13947783322327,completed
9,31.244204912520384,completed
10,39.34048034868772,completed
11,31.292658457500302,completed
12,31.274161971437945,completed
13,36.93569817252828,completed
14,19.693758042737617,completed
15,21.200657339895738,completed
16,30.501699766072218,completed
17,26.89735103732461,completed
18,37.51397866076219,completed
19,27.735807395830314,cancelled
20,23.701570389317666,completed
21,46.72519015137243,completed
22,33.19378959610771,completed
23,35.54022563750339,completed
24,23.602014510292346,completed
25,30.64493820379854,completed
26,35.88738071767893,completed
27,25.79205138062158,completed
28,38.00558414676537,completed
29,30.194890480649562,completed
30,32.666450001653786,completed
31,약 40분,completed
32,49.818225476071504,completed
33,약 40분,completed
34,-5,completed
35,약 40분,completed
36,25.233250800231822,completed
37,36.670908760038046,completed
38,19.322639008961794,completed
39,24.374511608812554,completed
40,35분,completed
41,,completed
42,36.37094624951976,completed
43,34.07481374089408,completed
44,32.59117043528569,completed
45,23.17182407706058,completed
46,29.24124633284233,completed
47,31.3148898323217,completed
48,43.45697780975132,completed
49,,completed
50,20.89567875709813,completed
51,0,completed
52,31.919341756669468,completed
53,29.58462399755233,completed
54,약 40분,completed
55,43.24799617996761,completed
56,42.45024095292959,completed
57,,completed
58,180,completed
59,37.650107451228514,completed
60,42.80436101697887,completed
61,180,cancelled
62,,completed
63,26.149320207951774,completed
64,25.430347007354634,completed
65,41.500206579153584,completed
66,45.84992022856658,completed
67,34.42391902735733,completed
68,43.02826318313619,completed
69,37.89308820038107,completed
70,29.839041963159005,completed
71,약 40분,completed
72,47.304292531727754,completed
73,34.713391687120385,completed
74,47.51714924651205,completed
75,14.042039167282045,completed
76,41.57522003500179,completed
77,35.69637654590537,completed
78,32.60794119627306,completed
79,35.73408621228402,completed
80,19.099448683192858,completed
81,,completed
82,37.85690057209397,completed
83,46.82315235793213,completed
84,30.85383825381082,completed
85,28.532051176854498,cancelled
86,30.98594365132371,completed
87,42.32321694161659,completed
88,37.630008877277476,completed
89,30.76191836986369,completed
90,39.106139464906846,completed
91,35.776620394784324,completed
92,42.74915992426311,cancelled
93,29.38357524898118,completed
94,32.37870282721786,completed
95,31.86313477494274,completed
96,23.29188041494305,completed
97,,completed
98,37.08844217743911,cancelled
99,35.04090765313969,completed
100,,completed
101,약 40분,completed
102,31.63483741787713,completed
103,32.25828386778584,completed
104,28.58178184622705,completed
105,33.70971430667193,completed
106,38.232406854516306,completed
107,50.08948720968424,completed
108,36.396622502654715,completed
109,37.060403125782116,completed
110,35분,completed
111,19.64983027760767,completed
112,34.78788899640627,completed
113,35.48184167952821,completed
114,54.70593689988229,completed
115,33.46111228175102,completed
116,37.4123787386689,completed
117,34.722305842358054,completed
118,25.650575699043742,completed
119,44.142582516120164,completed
120,41.015464261494195,completed
121,41.328255576344375,completed
