source,text,doc_name,chunk_id
국방부_정책자료,"국방개혁 기본계획 2014~2030 aazee 정예화된 선진강군』 a, 선택이 아니라 역사적 소명입니다.",14-30.txt,0
국방부_정책자료,"이를위한 국방개혁, 반드시 추진해나가겠습니다.",14-30.txt,1
국방부_정책자료,"방개혁 기본계획 수립, 망 및 평가, 국방개혁 기본방향 국방개혁은 「국방개혁에 관한 BS, 에 근거하여 시행하고 있습니다.",14-30.txt,2
국방부_정책자료,oanuwm & = ㅎㅇ 동북아 지역을 둘러싼 안보ㆍ국방환경은 다양한 형태의 위협으로 변화하고 있습니다.,14-30.txt,3
국방부_정책자료,국방개혁 기본계획(2014~2030)을 통해 혁신ㆍ창조형의 「정예화된 선진강군」 을 육성하겠습니다.,14-30.txt,4
국방부_정책자료,"PART 2 군구조분야 개혁목표 12 한반도 작전환경에 부합하는 작전수행체계를 구축하고, 합동성을 강화하기 위해 합참을 개편하겠습니다 압 7 . 13 2022년까지 상비병력을 52.2만 명으로 점진적 감축하되, 간부비율을 증가하여 병력구소를 정예화하겠습니다.",14-30.txt,5
국방부_정책자료,14 육군은 네트워크 중심 작전환경 OSAMA SAA 수행이 가능한 부대구소로 개편하겠습니다.,14-30.txt,6
국방부_정책자료,16 해군은 수상ㆍ수중ㆍ공중 입체전력 통합 운용에 적합한 부대구소로 전환하겠습니다.,14-30.txt,7
국방부_정책자료,18 해병대는 전략도서 방어 및 입체고속상륙작전 등 다양한 임무수행이 가능한 공지기동형 PUTAS 전환하겠습니다.,14-30.txt,8
국방부_정책자료,20 STE 효과중심의 공세적 항공우주작전 수행과 합동성 및 전투력 발휘를 극대화하기 위한 부대구조로 전환하겠습니다.,14-30.txt,9
국방부_정책자료,22 현존 및 잠재적 위협에 대응할 수 있는 전력을 구비하겠습니다.,14-30.txt,10
국방부_정책자료,1ㅇ024164415 | PART 3 국방경영 혁신으로 고효율의 선진 국방운영체제를 구죽하겠습니다.,14-30.txt,11
국방부_정책자료,"26 다양한전장환경에서 전투임무수행이 가능하도록 실전적 과학화 훈련기반을 조성하고, 을 제고하겠습니다.",14-30.txt,12
국방부_정책자료,"28 SH SA 전투력 발휘가 가능한동원체제로 개선하고, 향방예비군의 장비 보강과 훈련을 강화하겠습니다.",14-30.txt,13
국방부_정책자료,"30 군수지원체계를 경제적, 효율적으로 발전시키고 군사시설을 재배치하겠습니다.",14-30.txt,14
국방부_정책자료,"32 국방획득체계를 개선하고, 국방과학기술 SAS 향상시키며, 방위산업을 활성화하겠습니다.",14-30.txt,15
국방부_정책자료,34 선진 병영문화 정착 및 양질의 진료서비스 제공 등 국민과 장병에게 신뢰받는 국군의 모습을 만들어 나가겠습니다.,14-30.txt,16
국방부_정책자료,"0x 실질적 전투준비를 위해 PART 4 국방개혁, 국민의 적극적 지지와 관심이 필요합니다.",14-30.txt,17
국방부_정책자료,iy 38: 성공적인국방개혁 방재원의 확보가 필요합니다.,14-30.txt,18
국방부_정책자료,40 국민의 지지와 성원 국방개혁 기본계획은 시시각각 변화하는 안보환경에 능동적으로 대처하고 미래전에 대비하기 위해 지난 2005년에 최초로 수립되었습니다.,14-30.txt,19
국방부_정책자료,"그 후 국방개혁에 관한 법률에 근거하여 매 2~34 주기로 보완하고 있으며, 최근 급변하는 안보상황을 고려하여 「국방개혁 기본계획(2014^~-2030)」 을 실현 가능한 계획으로 발전시켰습니다.",14-30.txt,20
